Testcase 1
a g 102
g start 148
a end 107
b h 119
a d 150
h start 119
c start 116
b end 50
a c 125
b c 30
d g 101
c end 124
Testcase 2
start a 100
start b 100
a end 100
b end 100
Testcase 3
start end 150
Testcase 4
start a 30 
start b 50
a b 10
c end 44
c d 15
d end 24
Testcase 5
start a 100
start b 100
a c 100
b c 100
c d 50
c e 50
d end 60
e end 60
Testcase 6
start a 100
start b 100
start c 100
start d 100
start end 100
a b 100
a c 100
a d 100
a end 100
b c 100
b d 100
b end 100
c d 100
c end 100
d end 100
Testcase 7
a g 102
e end 141
f h 140
g start 148
f g 114
a end 107
c h 120
b g 102
b h 119
c g 112
d f 139
c e 105
a d 150
h start 119
e g 113
b d 107
c start 116
e start 143
b end 124
c d 125
b e 129
e h 137
a c 125
b c 111
d g 101
a e 143
b f 119
c end 124
a f 133
Testcase 8
c start 119
a b 51
a start 101
b start 50
a c 113
a end 141
Testcase 9
j l 118
b end 139
m r 132
end p 130
j k 121
n q 147
f r 135
j n 116
end j 102
i start 148
g l 117
f n 101
c e 116
end r 134
end n 101
a r 111
d i 144
g j 130
f start 117
f i 105
f o 106
b r 127
d f 135
h l 120
e i 146
c start 112
a g 139
q start 126
b o 109
l start 146
Testcase 10
l m 131
d l 114
end r 120
b o 139
i n 111
b g 148
end n 119
e h 139
i p 143
i start 104
j m 134
d m 133
c p 147
o p 104
i l 109
a c 104
b start 127
end l 129
l q 142
c j 140
g q 148
b k 140
h o 150
e k 119
n r 142
k n 109
k m 106
c h 107
d f 108
d o 150
k start 123
d j 136
c o 102
f p 131
h m 107
a f 110
f o 126
h r 112
end g 124
end m 143
b end 120
p start 145
b h 133
l n 142
b r 129
f g 134
h k 133
c e 141
d p 130
m p 116
o q 136
b c 132
i k 144
end j 149
c q 123
a j 122
f k 112
d k 119
k l 123
e j 134
Testcase 11
aq as 140
ak al 117
t z 150
af v 126
ag h 110
v x 150
aw m 131
ar n 132
a w 114
af i 125
ah r 133
ag b 110
ae x 107
av m 143
ad start 150
ao p 112
s u 126
l w 138
am p 122
av f 149
ag ar 131
at u 109
af t 110
l p 112
an u 131
am an 146
ax q 115
t w 136
j m 108
aa as 132
ar o 137
ad y 113
u w 123
av x 123
end i 124
i w 133
ar aw 103
ad ae 142
av aw 136
ae s 144
aa an 129
ao x 130
av d 106
ae aj 138
d f 150
ai p 146
ae at 101
aa end 114
aj r 136
ab au 120
ac end 107
ac v 109
ac e 143
a ag 147
n u 140
aa am 132
d e 101
ao q 125
ax r 144
i s 106
ad end 150
as start 127
start t 134
k y 133
ax s 108
ac i 130
o p 130
am e 131
af ax 106
an j 146
ah ap 148
j u 142
d z 103
ai as 128
ad p 121
al at 134
am au 114
a t 133
aj ap 143
ar f 126
j q 142
ae k 111
e z 141
aa t 134
af d 122
al u 100
am n 115
ap c 107
h s 133
av i 136
ac ap 134
aq k 148
aj l 123
al r 148
h m 127
an n 125
ab f 147
d start 145
au ax 149
ah end 118
au n 141
al z 123
ar start 126
e k 121
a ac 119
aj f 137
a o 100
ai y 111
aj q 129
d u 134
end g 146
ag at 107
ag ap 123
ab af 100
g l 104
aa ag 122
r w 100
q w 110
o v 131
ad ag 107
ax h 138
ap aw 143
e r 136
o t 111
ap l 132
as e 120
au x 132
al ax 128
f x 116
ap x 110
m p 126
k s 121
aj al 124
p u 108
aw v 135
at o 115
ac w 100
ae t 144
ah au 124
ac s 141
ae ap 134
ao k 134
au aw 106
a f 109
aa av 138
ad d 146
ap aq 115
ag y 113
ah ai 120
aq j 114
av z 146
ai aw 112
i v 139
ap r 109
ag g 107
a aw 145
af c 112
al y 101
ag r 124
ac as 140
a ah 104
l t 109
av p 132
al as 111
ax y 143
ac au 105
ac h 112
f n 138
ab o 124
ah al 138
ag o 145
am j 130
ai aq 138
as j 118
aw k 147
af ar 103
ah q 128
af e 102
ad af 140
al av 108
ao as 110
ae r 136
f t 114
n w 121
g y 125
ak at 111
ax p 130
ae ah 126
l o 120
c v 120
m start 121
d i 111
x z 124
c t 106
ag d 137
f l 146
ao l 122
at g 115
l x 118
b h 110
p w 125
ai ax 101
ao aw 108
at i 128
af w 102
ae start 129
j s 142
al e 104
aw d 100
af al 135
aq c 123
o start 108
at j 126
aw start 137
b t 107
ad h 100
a ai 138
ap av 129
i q 112
j w 135
ax n 138
ar q 110
as av 125
aq aw 104
am start 108
ar v 132
q y 141
aa c 130
ab ad 131
al am 119
ag l 102
g p 126
af am 105
ai i 104
j o 103
g s 145
ap y 139
i l 135
u v 143
an o 119
at start 103
aw o 105
ac k 126
af g 123
a al 124
aa z 150
ae au 115
at ax 141
f m 118
aa y 137
ah e 135
at au 105
a h 124
ak v 115
g k 134
ar p 110
h y 135
k o 109
aw b 127
q z 131
c l 112
ad u 132
aa ae 121
aa e 137
at y 116
ax x 114
al ap 141
b r 140
ag x 106
ak am 122
af ao 110
at l 122
aq o 147
d s 106
ag t 109
at av 103
ai end 120
al ar 150
am ar 126
g v 119
o r 131
m z 150
ad as 149
ag c 134
a q 117
ac t 125
ab l 138
aw f 108
aw u 149
ap h 110
ag k 147
an y 121
al f 137
an t 141
av v 105
ak start 113
ab s 109
b q 115
an c 132
a u 134
aq ar 130
r s 101
at d 114
t y 107
ai s 113
ah ar 122
ai at 132
ao f 122
aa ab 101
f r 135
ac z 118
i j 111
ab ar 127
af start 132
ah start 123
am aq 120
ai c 125
ab av 114
m u 146
ao end 110
ak f 120
au k 113
q s 131
aa au 133
ax g 140
c y 116
aq start 120
ap m 117
au g 140
ab ac 108
ap q 131
s start 131
r y 128
as q 101
au b 128
am m 108
l start 123
c r 110
aq z 114
ao w 148
as p 149
aj k 138
aa start 140
ao y 105
c s 119
b c 129
av g 113
aa h 103
aa o 101
o y 100
ak e 148
a au 147
al v 133
aq p 127
al h 129
as b 112
ak l 130
ao j 107
ao aq 134
ah aw 113
p y 100
am b 146
q x 122
ai av 132
an d 131
ai am 131
ab h 145
aa ad 122
ae p 103
ag q 101
ac av 115
ai au 104
ae e 133
p v 134
ac start 104
an as 149
av q 123
ao b 111
m o 134
ae m 137
aj u 132
ae aq 120
ak aq 114
b f 139
ad ar 149
an at 120
o w 111
aa b 138
ai g 130
af l 140
end p 130
f z 134
v y 111
h z 104
m t 130
i u 104
i k 145
ak ao 139
aj x 134
aa ar 140
ap v 102
ao ax 130
ad av 132
ao t 111
ag an 144
j l 108
ak t 110
af at 132
p r 135
a end 150
e g 133
aq i 102
as o 131
at q 120
aj au 128
start v 114
at p 139
ak i 101
e m 109
aa q 103
av start 111
au s 131
ad c 126
a k 149
ac ag 104
o u 103
ak q 104
al start 139
av w 150
d o 150
au v 147
ah l 117
j y 123
ad q 107
aj ax 142
ah i 134
aa i 131
as au 145
b n 116
ar ax 143
ak z 131
aw j 105
ae ai 126
am f 104
q r 125
ac b 116
af ak 120
ai start 143
aa ac 135
ac o 109
ar s 112
ag ax 108
aj o 111
g x 126
aa ao 135
c end 131
ar as 118
aq n 146
ar y 106
b v 104
aj as 113
ah an 130
b m 131
ap p 107
end s 120
aj s 131
end x 142
ab m 140
ag n 126
a p 146
al q 146
an ao 148
ac n 111
ad aj 102
af aq 116
aa m 114
aq g 132
aa s 134
ad z 119
e o 136
af u 125
c u 140
ah ao 117
au r 146
ao s 115
af h 103
aj e 116
al m 146
b g 150
an r 121
ap n 139
ai al 104
aw c 131
at w 126
aa k 125
aw s 145
ah k 147
ae v 122
ai d 136
ak x 104
a ax 127
r v 135
ax d 110
g z 120
m q 101
au start 147
ag p 106
aj start 109
i t 107
h start 114
ad i 104
af j 142
ad t 136
i p 127
ab t 135
ab an 132
ah s 140
ab n 135
ad ax 128
end z 123
as d 101
au e 146
ao h 127
d k 148
an p 144
ag aq 129
ax f 123
e x 125
an z 103
n start 119
ap g 119
at b 133
ax j 136
ab p 134
al au 144
ae b 148
aw h 111
m s 100
a aq 112
ae j 103
g start 117
av n 142
ac g 146
at aw 143
af r 121
a v 105
ad al 100
am v 118
aj aq 113
e y 123
g h 148
ae ak 139
al i 139
ag z 123
ae i 101
g t 124
av u 147
ac ar 125
q v 125
aj c 120
at s 124
ah av 137
ax z 110
ae an 127
h k 144
d h 122
aq x 116
end t 148
ab e 120
au i 113
al t 143
ab j 123
ab am 139
at x 121
am ax 103
f j 146
aw n 112
f k 130
ab r 107
ad b 119
c q 103
an ax 139
o x 140
am end 130
ab d 121
h u 115
av h 110
r z 107
av l 113
ar h 148
af ag 118
ab c 149
aa ak 121
r start 125
ad ah 108
aw x 128
p start 141
ab v 144
a b 102
b w 132
ai k 109
k t 117
ap z 146
ag u 124
end y 112
al o 124
k v 101
ab w 110
u y 103
am u 121
al x 145
ao av 118
c w 134
t x 102
h q 100
ac af 100
a i 125
ah y 139
ab aw 135
e h 100
ab ai 105
ag au 111
ai z 127
an w 102
n z 132
r t 106
i r 147
ak r 125
am l 114
f y 122
al b 135
start z 134
aw w 113
an au 134
ak as 105
c e 127
p z 129
af as 101
i x 135
ao o 141
ad n 109
ag j 146
g o 146
ae h 107
an ar 116
aa at 133
aj z 142
aj y 150
aq d 100
c n 134
ai ak 114
ao i 110
ak c 132
ae aw 109
a an 147
j t 107
a r 131
l v 125
ah b 135
ab ae 104
j v 128
as at 100
f h 132
af k 100
ah c 143
k p 101
aj p 127
aj ak 141
ab q 133
aa r 137
m r 100
o z 103
ad au 108
an v 101
ae g 141
av c 116
aj aw 127
aq q 148
c m 109
ad at 147
ah as 122
ao at 137
ae c 123
ar g 126
aj an 108
aj g 103
o s 120
ak s 147
am y 139
ag ah 146
d g 150
as c 128
ai x 143
a ap 123
ag i 107
at e 133
ad am 145
at r 124
aq y 102
i z 136
c z 145
am aw 136
ac ae 122
aa aq 102
af av 148
ao n 127
x y 127
b l 148
ac d 120
p x 115
ah u 119
a x 119
ar u 124
ag w 122
ac aw 110
ax l 110
ae l 105
am as 131
j r 110
a ab 148
an h 100
an k 131
aq w 135
end f 149
ad ak 125
ax m 130
at c 129
an ap 132
ae end 149
b z 101
ad j 113
d x 106
ab ah 106
e l 137
n q 147
ax b 111
ac j 107
l s 150
ai l 110
af q 142
aa ah 118
at f 136
d l 102
al s 101
g r 120
af y 113
ap ar 124
l q 143
f s 119
k r 111
e end 111
af aw 128
aq end 136
aq e 137
ap s 116
ac an 137
ar w 148
as x 141
an e 107
am ao 104
ad o 144
ah at 139
w x 136
ak b 102
as h 103
ai q 117
aa p 113
ah d 122
ar z 114
ap f 133
ao d 105
d end 121
aj h 104
am s 148
an s 131
af ap 145
ab k 106
af o 102
aw l 134
ah v 118
b y 140
an b 132
ak m 132
d n 109
am at 102
au o 124
w y 119
j n 147
al an 142
an i 129
ao u 141
af s 124
ae q 131
n r 134
af b 106
r x 133
aa g 126
i start 104
aj ao 103
b o 117
k n 117
af ai 124
an f 130
s z 129
ah m 107
al c 112
aa u 139
aw p 135
b x 121
g m 134
b end 137
as f 119
r u 138
at end 127
ai v 110
av s 123
ah g 105
as k 115
ag e 124
al w 118
ao ar 123
au m 106
ae w 125
aj t 143
aa w 121
ag av 111
an av 115
ac m 112
e i 132
aj j 126
k u 148
af ah 102
i o 134
au j 138
aj av 106
as u 135
am ap 145
l y 123
ae am 112
ai o 124
f i 131
aa f 128
ac aq 127
ae ao 146
ab as 149
ao au 120
c k 107
ap d 139
at h 147
ah p 140
am r 102
ag am 129
ax u 145
c j 113
ag m 117
ab ax 131
ao r 124
ai r 149
ag ak 105
ai h 143
ar end 115
start x 115
af n 121
d m 120
e f 130
ab end 118
as t 103
an x 107
ad r 116
ao e 101
aa l 136
ad s 118
f u 113
ab start 138
aq at 106
s v 141
ap w 102
ah h 145
aj v 141
aj d 102
ak an 140
e j 122
l r 104
aq m 144
b e 111
e p 119
a ak 111
ak h 128
ax end 127
ar c 133
b i 150
l m 127
n x 130
k x 124
l z 114
aa x 110
ab ak 115
ar i 129
a l 134
n t 113
d y 127
h i 148
au end 137
ad ao 131
ae ax 135
aq ax 142
a m 132
al n 118
ac aj 142
g w 134
as v 123
ak u 134
ag aj 117
ab z 118
au y 118
au p 139
ac ax 142
an g 115
ab b 144
av ax 111
end k 138
ai aj 101
al g 134
ab aq 120
b j 115
ag as 142
an start 105
ai an 100
aa v 136
ak ax 106
ah x 101
ae u 144
am g 134
ar av 138
ac am 145
aj b 133
ae f 103
ag end 140
d p 116
ad ap 147
aq l 113
ag s 141
am d 131
aq au 103
p s 127
m w 114
ai f 150
e start 149
ag aw 141
ah j 138
ag v 136
s y 123
end w 101
ak j 124
an aw 125
aj at 103
start u 107
y z 125
ax t 128
am h 122
c h 113
a g 136
b s 115
ap at 134
h p 137
ab al 122
ac c 132
ah t 111
aa ax 104
ac ad 132
av end 119
ak y 119
aa al 136
al ao 116
an end 150
ad w 122
ax w 128
al end 119
ap k 128
au w 112
n o 127
ai b 122
a as 103
av y 139
ap j 133
am av 125
an q 142
e n 100
ax v 108
q start 134
p t 130
n v 109
a av 108
h o 147
end q 102
ac al 107
o q 117
ad aq 104
aw r 113
start w 114
Testcase 12
ldmap qsqoh 111
anafo kqwgu 100
yfpev yhguu 131
mekax start 122
hxfmy jgjsb 116
liuxk obhhb 110
boevb xbnbu 146
adzuv yfdng 146
dbbfc dnobw 143
guwzx muplm 116
gqtjp twxeg 127
gkqni uqjrb 109
sbldk vbjgt 105
axzky ssglq 101
dxsml wrmrq 136
adzuv xjdox 100
twxeg zkpif 107
ofxgg xjdox 148
iiake wrmrq 101
efwri nufvs 106
ixkpm zvdkf 137
kosnq rovyf 116
tfchz uqmzq 133
iesoi lggea 145
dtmyb kcecp 130
nqeok pvxms 102
axokv ofxgg 142
boevb ddadb 118
fgioe zzeif 123
mrczr pnpmk 142
rornc zcdzu 106
srinw yzfzs 145
lzghh zvdkf 138
kwmfn uiepm 123
cvwop hpxzr 112
dnobw xqzes 147
ffdjt oijku 133
dncfi vmvut 122
wkjtw zcdzu 102
mhgcr yhguu 133
ejrqd rwrad 115
atywv pnpmk 106
lggea ymlmu 122
hxfmy srinw 122
hjlgg rvhlw 128
hyfom ukkie 107
end tjhem 142
dmkkg onrnb 113
hvybs moaxx 131
luilb wagkb 137
nqeok onrnb 133
bxnpj osylw 119
atywv dtmyb 141
aupvy lzghh 121
ehkxe svnkr 139
mekax ssglq 104
kbrbl psvgy 119
dtmyb ltbqh 128
jgsht prbvw 112
axokv hyqrv 148
aqrnw auxca 135
lzghh ubdqn 147
ishul ovdmd 143
psvgy ssglq 124
ixkpm lbdqb 141
ehkxe uuqtu 142
osylw vmvut 140
aupvy gkank 110
yfpev zkpif 135
ixkpm zzeif 102
ixkpm xbnbu 111
ovdmd xtblz 131
fmirp muplm 104
blvqc ixkpm 110
dtmyb zzeif 114
axokv obhhb 145
hhurz nufvs 108
jcafj pmwre 145
piuhr xgxgu 114
axokv tliez 138
nqeok xhqfx 116
aupvy blvqc 102
liuxk qdllj 142
